reference_number,doi,url,status,http_status,final_url,error
1,10.1073/pnas.1211658109,https://doi.org/10.1073/pnas.1211658109,resolved_to_publisher_403,403,https://pnas.org/doi/full/10.1073/pnas.1211658109,HTTP Error 403: Forbidden
2,10.1016/j.enpol.2009.05.020,https://doi.org/10.1016/j.enpol.2009.05.020,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0301421509003413,
3,10.1038/nclimate3169,https://doi.org/10.1038/nclimate3169,resolved,200,https://www.nature.com/articles/nclimate3169?error=cookies_not_supported&code=ab3d1e7c-0b47-49f8-9667-025cb39f520b,
4,10.1016/j.apenergy.2015.08.095,https://doi.org/10.1016/j.apenergy.2015.08.095,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0306261915010314,
5,10.1016/j.scs.2022.104201,https://doi.org/10.1016/j.scs.2022.104201,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S2210670722005121,
6,10.1016/j.jue.2012.04.001,https://doi.org/10.1016/j.jue.2012.04.001,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0094119012000186,
7,10.1016/j.enpol.2014.01.024,https://doi.org/10.1016/j.enpol.2014.01.024,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0301421514000299,
8,10.1016/j.enpol.2019.111049,https://doi.org/10.1016/j.enpol.2019.111049,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0301421519306366,
9,10.1016/j.ecolecon.2021.107153,https://doi.org/10.1016/j.ecolecon.2021.107153,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0921800921002111,
10,10.1016/j.ecolind.2022.109456,https://doi.org/10.1016/j.ecolind.2022.109456,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S1470160X22009293,
11,10.1016/j.uclim.2022.101223,https://doi.org/10.1016/j.uclim.2022.101223,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S2212095522001419,
12,10.1016/j.apgeog.2022.102855,https://doi.org/10.1016/j.apgeog.2022.102855,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0143622822002260,<urlopen error _ssl.c:1015: The handshake operation timed out>
13,10.1016/j.jclepro.2024.141127,https://doi.org/10.1016/j.jclepro.2024.141127,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0959652624005742,
14,10.1016/j.enpol.2024.113990,https://doi.org/10.1016/j.enpol.2024.113990,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0301421524000107,
15,10.1016/j.ecolind.2024.112700,https://doi.org/10.1016/j.ecolind.2024.112700,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S1470160X24011579,
16,10.3390/su15010225,https://doi.org/10.3390/su15010225,resolved_to_publisher_403,403,https://www.mdpi.com/2071-1050/15/1/225,HTTP Error 403: Forbidden
17,10.3390/su17114934,https://doi.org/10.3390/su17114934,resolved_to_publisher_403,403,https://www.mdpi.com/2071-1050/17/11/4934,HTTP Error 403: Forbidden
18,10.3390/su16188048,https://doi.org/10.3390/su16188048,resolved_to_publisher_403,403,https://www.mdpi.com/2071-1050/16/18/8048,HTTP Error 403: Forbidden
19,10.3390/su16187974,https://doi.org/10.3390/su16187974,resolved_to_publisher_403,403,https://www.mdpi.com/2071-1050/16/18/7974,HTTP Error 403: Forbidden
20,10.1016/j.scs.2019.101888,https://doi.org/10.1016/j.scs.2019.101888,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S2210670719307267,
21,10.1016/j.tele.2017.01.001,https://doi.org/10.1016/j.tele.2017.01.001,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0736585316305846,
22,10.1016/j.ecolecon.2020.106760,https://doi.org/10.1016/j.ecolecon.2020.106760,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0921800919320622,
23,10.1016/j.resconrec.2020.105389,https://doi.org/10.1016/j.resconrec.2020.105389,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0921344920307072,
24,10.1016/j.enpol.2022.112927,https://doi.org/10.1016/j.enpol.2022.112927,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0301421522001525,
25,10.1016/j.resconrec.2022.106762,https://doi.org/10.1016/j.resconrec.2022.106762,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0921344922005948,
26,10.1371/journal.pone.0308001,https://doi.org/10.1371/journal.pone.0308001,resolved,200,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0308001,
27,10.1038/s41598-024-68417-4,https://doi.org/10.1038/s41598-024-68417-4,resolved,200,https://www.nature.com/articles/s41598-024-68417-4?error=cookies_not_supported&code=d9f968a1-ae2b-4087-80f7-4c076976be69,
28,10.1016/j.jenvman.2018.11.078,https://doi.org/10.1016/j.jenvman.2018.11.078,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0301479718313434,
29,10.1016/j.esr.2023.101218,https://doi.org/10.1016/j.esr.2023.101218,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S2211467X23001682,The read operation timed out
30,10.1016/j.techfore.2019.06.010,https://doi.org/10.1016/j.techfore.2019.06.010,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0040162518306176,
31,10.1016/j.techfore.2021.121434,https://doi.org/10.1016/j.techfore.2021.121434,resolved,200,https://linkinghub.elsevier.com/retrieve/pii/S0040162521008659,
32,,,no DOI in reference,,,
33,10.5194/essd-16-2811-2024,https://doi.org/10.5194/essd-16-2811-2024,resolved,200,https://essd.copernicus.org/articles/16/2811/2024/,
